"","Commercial.Engagement.Categorical.Ranking","assets","flexibility","organization","learning","sociocog","agency","ac","count"
"1",1,0.523809523809524,0.321428571428571,0.578571428571429,0.785714285714286,0.821428571428571,0.619047619047619,3.65,7
"2",2,0.580246913580247,0.424074074074074,0.42962962962963,0.662037037037037,0.606481481481482,0.416666666666667,3.11913580246914,27
"3",3,0.604166666666667,0.354166666666667,0.39375,0.666666666666667,0.619791666666667,0.378472222222222,3.01701388888889,24
"4",4,0.586666666666667,0.402,0.506,0.67,0.651666666666667,0.563333333333333,3.37966666666667,25
"5",5,0.642405063291139,0.393037974683544,0.484810126582278,0.700949367088608,0.540084388185654,0.471518987341772,3.232805907173,79
