"","region","assets","flexibility","organization","learning","sociocog","agency","ac"
"1","bc",0.565079365079365,0.31,0.393809523809524,0.573809523809524,0.576587301587302,0.40952380952381,2.82880952380952
"2","ne",0.620414673046252,0.353588516746412,0.492942583732057,0.672248803827751,0.626295853269538,0.454545454545455,3.22003588516746
"3","wc",0.612654320987654,0.390740740740741,0.469444444444444,0.688271604938272,0.592335390946502,0.469135802469136,3.22258230452675
